file,level,abs_comp_ratio,rel_comp_ratio,rel_comp_time
xml,1,0.17548472671216475,0.9686395066419933,0.7375
xml,2,0.15938566361350576,0.9564610667723462,0.6824034334763949
xml,3,0.15002357219827586,0.9703175876551366,0.6076555023923444
xml,4,0.14153383920019158,0.9326986616169088,0.5454545454545454
xml,5,0.1356638005866858,0.9872690983945803,0.5031847133757962
xml,6,0.12931371228448277,0.9973163193753084,0.41732283464566927
xml,7,0.12552607159961685,0.9884693407032126,0.4742268041237113
xml,8,0.12296231441570882,0.9891910602754158,0.5081967213114754
xml,9,0.12269703364463602,0.9879371793365449,0.5686274509803921
mr,1,0.37690977160369266,0.9821444812305492,0.5950920245398773
mr,2,0.3708918572710631,0.97367112884209,0.6204379562043796
mr,3,0.3675426986878576,0.9970195042228904,0.4789915966386555
mr,4,0.36626533865085265,0.9921853158490315,0.5514018691588785
mr,5,0.3674022853672069,0.9901766431052426,0.37777777777777777
mr,6,0.365548528648931,0.9913909761653803,0.28169014084507044
mr,7,0.3644885083732475,0.9895190093036389,0.2653061224489796
mr,8,0.3638599581728777,0.9901789691342929,0.19230769230769232
mr,9,0.363899574788347,0.9902565076703391,0.2
x-ray,1,0.7157969328222944,1.0045905039600922,0.6086956521739131
x-ray,2,0.7152875066082622,1.0098988621323457,0.5217391304347826
x-ray,3,0.7153007231326939,1.0150099020577894,0.5
x-ray,4,0.7153002511139642,0.9948050967623349,0.37254901960784315
x-ray,5,0.7083305405558492,0.9911256179299966,0.36585365853658536
x-ray,6,0.7083300685371196,0.992478402129612,0.3541666666666667
x-ray,7,0.7083300685371196,0.9924877558555375,0.3333333333333333
x-ray,8,0.706949767766785,0.9905538896215471,0.3953488372093023
x-ray,9,0.706949767766785,0.9905538896215471,0.358974358974359
webster,1,0.3319490240686015,0.9165855234887188,0.5344827586206896
webster,2,0.31951701431663215,0.9277407400040732,0.5978260869565217
webster,3,0.31270901069915286,0.9488477449834137,0.55
webster,4,0.3071222464436478,0.9767889976384408,0.525
webster,5,0.29949675463798275,0.9947600385927011,0.4375
webster,6,0.29567034453538016,1.0003765456304508,0.375
webster,7,0.2930335760865457,0.9981887030448275,0.36585365853658536
webster,8,0.2901036966834201,0.9927216399746969,0.46153846153846156
webster,9,0.2898268187502151,0.9917929225708868,0.5882352941176471
geo.protodata,1,0.14572300738691943,0.9178838901577522,0.951048951048951
geo.protodata,2,0.1393648598509124,0.9225745227196606,0.9635036496350365
geo.protodata,3,0.1361351907444261,0.9217242363688267,0.96
geo.protodata,4,0.13248389381724965,0.9721551884165583,0.6587301587301587
geo.protodata,5,0.13067932674469593,0.9991618310767247,0.75
geo.protodata,6,0.12836880628731406,1.0064793388429751,0.6020408163265306
geo.protodata,7,0.1271629507201403,0.9996685449121644,0.5444444444444444
geo.protodata,8,0.12642088575572571,1.0016034206306788,0.5789473684210527
geo.protodata,9,0.1264124531993119,1.0015366114377338,0.6056338028169014
tulip_PNG9011,1,0.1255931617792023,0.8672150886430824,0.54375
tulip_PNG9011,2,0.12254089587355252,0.8765417159240056,0.4740740740740741
tulip_PNG9011,3,0.12009569969503367,0.9025093882021593,0.3274336283185841
tulip_PNG9011,4,0.11908977279455732,0.9795922736444357,0.44329896907216493
tulip_PNG9011,5,0.11506411319996018,0.9908335527827115,0.30864197530864196
tulip_PNG9011,6,0.11275035119601845,0.9971860002071656,0.22413793103448276
tulip_PNG9011,7,0.10999478817951305,0.9877012065087202,0.24242424242424243
tulip_PNG9011,8,0.10730429158606564,1.0062112180210743,0.2
tulip_PNG9011,9,0.10646038007900364,1.01418839762225,0.08333333333333333
dickens,1,0.4146539505826178,0.9205229267238713,0.5934065934065934
dickens,2,0.4006322917972781,0.9286422691546455,0.6351351351351351
dickens,3,0.394894807389708,0.9577360090668523,0.5
dickens,4,0.3930914129935052,0.976237583715351,0.6491228070175439
